season,week,position,pool_n,repl_rank,repl_fwd3,pool_mean,decision_rank_before,decision_pts,repl_pctile
2015,5,TE,40,2,9.8000,2.5863,9.8000,1.5500,0.9500
2015,5,WR,55,6,7.3500,3.1639,0.5333,4.7667,0.8909
2015,6,QB,11,2,18.5700,13.1970,14.2067,14.2067,0.8182
2015,6,RB,38,5,4.3000,2.4456,4.3000,0.1000,0.8684
2015,6,TE,36,2,7.6000,3.4889,6.0667,1.4000,0.9444
2015,6,WR,60,6,8.4667,3.8400,9.7333,13.4000,0.9000
2015,7,QB,13,2,18.1100,9.1715,10.8600,24.2467,0.8462
2015,7,RB,38,5,3.8000,2.0605,3.6000,0.7000,0.8684
2015,7,TE,42,2,7.6000,3.0611,7.6000,11.6000,0.9524
2015,7,WR,57,6,8.4000,2.6228,0.0000,2.4000,0.8947
2015,8,QB,15,2,17.2733,8.1331,2.2100,20.3267,0.8667
2015,8,RB,42,5,6.5000,2.5317,23.0333,8.4000,0.8810
2015,8,TE,44,2,10.2000,3.4890,10.3500,6.0000,0.9545
2015,8,WR,54,6,7.0333,3.3139,5.3000,6.4000,0.8889
2015,9,QB,14,2,15.1200,6.1729,-2.2000,24.5000,0.8571
2015,9,RB,24,5,4.1000,2.7333,3.1000,2.2667,0.7917
2015,9,TE,39,2,14.8000,3.9957,6.5667,3.5000,0.9487
2015,9,WR,45,6,6.8000,2.7581,1.5000,5.7000,0.8667
2015,10,QB,16,2,14.0733,7.9662,24.4933,0.0000,0.8750
2015,10,RB,35,5,6.3667,3.1529,6.3667,7.9000,0.8571
2015,10,TE,44,2,11.7000,3.8814,2.5333,0.9667,0.9545
2015,10,WR,64,6,7.9333,2.7115,7.6500,2.7000,0.9062
2015,11,QB,13,2,18.2733,8.0887,7.7600,25.7333,0.8462
2015,11,RB,28,5,5.4000,3.4000,1.3667,4.1667,0.8214
2015,11,TE,44,2,10.9667,4.1629,9.7667,4.2333,0.9545
2015,11,WR,57,6,6.5667,2.3784,6.5667,7.3000,0.8947
2015,12,QB,20,2,19.0200,8.3573,19.0200,7.3067,0.9000
2015,12,RB,43,5,6.7000,3.0186,4.8667,5.1333,0.8837
2015,12,TE,59,2,13.1000,3.2452,13.1333,1.9333,0.9661
2015,12,WR,77,6,8.1667,3.1325,7.2667,3.9333,0.9221
2015,13,QB,20,2,19.0600,7.2810,7.0467,19.0600,0.9000
2015,13,RB,54,5,12.4667,3.5951,3.6000,4.4667,0.9074
2015,13,TE,54,2,11.7000,3.2407,4.6667,4.6333,0.9630
2015,13,WR,77,6,7.8333,2.9982,4.1000,4.9000,0.9221
2015,14,QB,22,2,17.6800,8.5579,12.8600,12.8600,0.9091
2015,14,RB,41,5,9.4000,3.9512,6.5000,11.0333,0.8780
2015,14,TE,52,2,11.2333,3.2147,6.7667,6.7667,0.9615
2015,14,WR,77,6,7.1667,3.1446,2.4333,0.0000,0.9221
2015,15,QB,25,2,16.3800,6.5044,14.1300,14.1300,0.9200
2015,15,RB,47,5,9.3500,3.6223,4.2000,9.6000,0.8936
2015,15,TE,48,2,11.7500,3.2937,0.0000,10.9000,0.9583
2015,15,WR,81,6,8.2500,3.2352,9.7500,11.1000,0.9259
2015,16,QB,19,2,19.3600,8.0432,2.1600,7.2800,0.8947
2015,16,RB,47,5,10.4000,4.1000,0.0000,10.1000,0.8936
2015,16,TE,51,2,12.7000,3.3529,0.0000,0.0000,0.9608
2015,16,WR,79,6,9.3000,3.2152,4.0000,0.0000,0.9241
2016,2,QB,20,2,18.9400,10.4048,-0.1000,-0.1000,0.9000
2016,2,RB,48,5,9.7667,4.2104,11.4333,4.4667,0.8958
2016,2,TE,54,2,16.7333,3.9843,3.6000,9.2667,0.9630
2016,2,WR,79,6,8.3667,3.3314,5.9000,14.1667,0.9241
2016,3,QB,17,2,18.0200,12.2535,17.4533,18.0200,0.8824
2016,3,RB,47,5,9.4000,3.5496,0.0000,16.3333,0.8936
2016,3,TE,49,2,15.7333,3.9639,4.5333,8.2500,0.9592
2016,3,WR,79,6,10.4667,4.1892,5.4000,9.6333,0.9241
2016,4,QB,17,2,13.9400,8.9588,6.4933,12.6067,0.8824
2016,4,RB,38,5,9.8000,4.1289,0.0000,2.5000,0.8684
2016,4,TE,49,2,13.0333,3.0718,4.0667,0.9333,0.9592
2016,4,WR,70,6,8.3000,3.4005,10.4667,5.7000,0.9143
2016,5,QB,13,2,18.7400,8.0303,18.7400,4.6800,0.8462
2016,5,RB,25,5,5.2500,3.1587,3.2333,6.2667,0.8000
2016,5,TE,37,2,13.7333,3.4437,5.9000,5.9000,0.9459
2016,5,WR,62,6,8.9333,3.3616,5.0000,2.0333,0.9032
2016,6,QB,16,2,18.1700,9.7731,9.0800,14.7600,0.8750
2016,6,RB,38,5,5.7333,2.9263,6.9000,0.0667,0.8684
2016,6,TE,46,2,14.1000,4.1728,4.8500,3.9000,0.9565
2016,6,WR,77,6,9.1667,3.2540,0.0000,4.3000,0.9221
2016,7,QB,15,2,20.6733,10.2951,20.6733,0.0867,0.8667
2016,7,RB,42,5,6.4000,2.6829,0.6000,0.6000,0.8810
