season,position,variant,target,r2,n_train,n_test
2021,RB,base,fwd3_rank,0.239126,3841,434
2021,RB,base,fwd3,0.189891,3841,434
2021,RB,dc,fwd3_rank,0.265575,3841,434
2021,RB,dc,fwd3,0.207923,3841,434
2021,WR,base,fwd3_rank,0.345242,6891,921
2021,WR,base,fwd3,0.260822,6891,921
2021,WR,dc,fwd3_rank,0.349232,6891,921
2021,WR,dc,fwd3,0.271670,6891,921
2021,TE,base,fwd3_rank,0.329371,4758,622
2021,TE,base,fwd3,0.300578,4758,622
2021,TE,dc,fwd3_rank,0.327661,4758,622
2021,TE,dc,fwd3,0.314314,4758,622
2021,QB,base,fwd3_rank,0.448385,1663,229
2021,QB,base,fwd3,0.384491,1663,229
2021,QB,dc,fwd3_rank,0.451982,1663,229
2021,QB,dc,fwd3,0.414628,1663,229
2022,RB,base,fwd3_rank,0.208555,4275,484
2022,RB,base,fwd3,0.267059,4275,484
2022,RB,dc,fwd3_rank,0.209760,4275,484
2022,RB,dc,fwd3,0.295646,4275,484
2022,WR,base,fwd3_rank,0.341677,7812,849
2022,WR,base,fwd3,0.338416,7812,849
2022,WR,dc,fwd3_rank,0.342538,7812,849
2022,WR,dc,fwd3,0.348812,7812,849
2022,TE,base,fwd3_rank,0.333635,5380,603
2022,TE,base,fwd3,0.318466,5380,603
2022,TE,dc,fwd3_rank,0.333746,5380,603
2022,TE,dc,fwd3,0.329153,5380,603
2022,QB,base,fwd3_rank,0.388809,1892,203
2022,QB,base,fwd3,0.236424,1892,203
2022,QB,dc,fwd3_rank,0.390487,1892,203
2022,QB,dc,fwd3,0.272568,1892,203
2023,RB,base,fwd3_rank,0.203159,4759,407
2023,RB,base,fwd3,0.203882,4759,407
2023,RB,dc,fwd3_rank,0.193111,4759,407
2023,RB,dc,fwd3,0.213693,4759,407
2023,WR,base,fwd3_rank,0.297390,8661,897
2023,WR,base,fwd3,0.225540,8661,897
2023,WR,dc,fwd3_rank,0.295039,8661,897
2023,WR,dc,fwd3,0.218382,8661,897
2023,TE,base,fwd3_rank,0.337907,5983,578
2023,TE,base,fwd3,0.410362,5983,578
2023,TE,dc,fwd3_rank,0.335144,5983,578
2023,TE,dc,fwd3,0.392214,5983,578
2023,QB,base,fwd3_rank,0.428443,2095,219
2023,QB,base,fwd3,0.320013,2095,219
2023,QB,dc,fwd3_rank,0.407913,2095,219
2023,QB,dc,fwd3,0.326941,2095,219
2024,RB,base,fwd3_rank,0.288488,5166,462
2024,RB,base,fwd3,0.146662,5166,462
2024,RB,dc,fwd3_rank,0.297857,5166,462
2024,RB,dc,fwd3,0.168695,5166,462
2024,WR,base,fwd3_rank,0.357849,9558,859
2024,WR,base,fwd3,0.346911,9558,859
2024,WR,dc,fwd3_rank,0.357620,9558,859
2024,WR,dc,fwd3,0.351185,9558,859
2024,TE,base,fwd3_rank,0.345661,6561,620
2024,TE,base,fwd3,0.360808,6561,620
2024,TE,dc,fwd3_rank,0.344676,6561,620
2024,TE,dc,fwd3,0.357698,6561,620
2024,QB,base,fwd3_rank,0.433166,2314,217
2024,QB,base,fwd3,0.427284,2314,217
2024,QB,dc,fwd3_rank,0.447371,2314,217
2024,QB,dc,fwd3,0.456271,2314,217
2025,RB,base,fwd3_rank,0.310119,5628,435
2025,RB,base,fwd3,0.303931,5628,435
2025,RB,dc,fwd3_rank,0.323053,5628,435
2025,RB,dc,fwd3,0.308638,5628,435
2025,WR,base,fwd3_rank,0.348196,10417,890
2025,WR,base,fwd3,0.277251,10417,890
2025,WR,dc,fwd3_rank,0.339503,10417,890
2025,WR,dc,fwd3,0.295238,10417,890
2025,TE,base,fwd3_rank,0.392336,7181,653
2025,TE,base,fwd3,0.337273,7181,653
2025,TE,dc,fwd3_rank,0.373632,7181,653
2025,TE,dc,fwd3,0.339688,7181,653
2025,QB,base,fwd3_rank,0.472055,2531,223
2025,QB,base,fwd3,0.335921,2531,223
2025,QB,dc,fwd3_rank,0.489635,2531,223
2025,QB,dc,fwd3,0.345987,2531,223
