scheme,season,week,arm,n,mean_fwd3,mean_vs_pos,week_ceiling,min_span
walk_forward,2025,11,repo,3,10.2344,6.0025,19.1200,2
walk_forward,2025,12,naive,3,6.8022,0.9833,21.6600,2
walk_forward,2025,12,repo,3,0.8444,-4.6199,21.6600,3
walk_forward,2025,13,naive,3,7.6922,0.4931,28.5500,2
walk_forward,2025,13,repo,3,8.2867,3.2569,28.5500,3
walk_forward,2025,14,naive,3,15.1200,8.2415,19.0400,3
walk_forward,2025,14,repo,3,4.2333,2.5818,19.0400,3
walk_forward,2025,15,naive,3,12.9911,6.1168,24.3333,3
walk_forward,2025,15,repo,3,6.3556,3.8991,24.3333,3
walk_forward,2025,16,naive,3,18.3100,9.7978,21.8400,2
walk_forward,2025,16,repo,3,8.8567,3.8871,21.8400,2
walk_forward,2025,17,naive,3,8.9800,2.1526,24.4000,1
walk_forward,2025,17,repo,3,10.1067,4.5621,24.4000,1
wf_plus_pts,2023,2,naive,3,15.0244,4.4795,31.9333,3
wf_plus_pts,2023,2,repo,3,16.0722,11.6859,31.9333,2
wf_plus_pts,2023,3,naive,3,11.3111,5.0626,21.9333,3
wf_plus_pts,2023,3,repo,3,8.8600,4.3216,21.9333,3
wf_plus_pts,2023,4,naive,3,10.6156,3.8431,18.6800,3
wf_plus_pts,2023,4,repo,3,2.9278,-0.7976,18.6800,2
wf_plus_pts,2023,5,naive,3,14.5500,9.2588,20.7100,2
wf_plus_pts,2023,5,repo,3,7.1978,3.4409,20.7100,2
wf_plus_pts,2023,6,naive,3,16.9900,10.0118,28.2100,2
wf_plus_pts,2023,6,repo,3,8.1667,5.4809,28.2100,2
wf_plus_pts,2023,7,naive,3,8.3000,2.6239,17.2667,3
wf_plus_pts,2023,7,repo,3,7.7833,5.5650,17.2667,2
wf_plus_pts,2023,8,naive,3,17.8311,10.5870,27.4600,3
wf_plus_pts,2023,8,repo,3,16.2822,10.4268,27.4600,3
wf_plus_pts,2023,9,naive,3,7.1689,4.2384,15.4400,3
wf_plus_pts,2023,9,repo,3,5.9756,2.8944,15.4400,3
