overall_rank,pos_rank,player_display_name,position,team,season,week,score,score_lo,score_hi,proj_pts,proj_pts_lo,proj_pts_hi,snap,snap_jump,targets,tgt_share,eb_tgt_share,carries,carry_share,eb_car_share,receptions,air_yards_share,wopr_opp,kal_role,cusum,pts,pts_lag1,cum_before,rank_before,conformal_half_width,model_coverage
1,1,Cam Ward,QB,TEN,2025,8,0.9266,0.5896,1.0000,19.8873,10.5066,25.7985,1.0000,0.0000,0,0.0000,0.0001,2,0.0800,0.1003,0,0.0000,2.0000,1.0000,0.0000,12.7600,10.2000,53.8400,21.0000,0.3370,0.8251
2,2,Dillon Gabriel,QB,CLE,2025,8,0.9258,0.5888,1.0000,19.7686,10.4870,25.7985,1.0000,0.0250,0,0.0000,0.0002,1,0.0667,0.0553,0,0.0000,1.0000,0.9326,1.1873,11.5400,5.8400,35.5400,23.0000,0.3370,0.8251
3,1,Cade Otton,TE,TB,2025,8,0.8861,0.5962,1.0000,7.8899,2.7333,16.4627,0.9700,-0.0150,5,0.2083,0.1590,0,0.0000,0.0001,4,0.1420,12.5000,0.9679,1.6717,8.0000,13.5000,45.1000,20.0000,0.2900,0.8270
4,3,Joe Flacco,QB,CIN,2025,8,0.8776,0.5407,1.0000,18.0554,9.1485,25.7985,1.0000,0.0000,0,0.0000,0.0001,2,0.0870,0.0894,0,0.0000,2.0000,0.9957,0.2267,24.3200,25.9800,70.6400,19.0000,0.3370,0.8251
5,2,Pat Freiermuth,TE,PIT,2025,8,0.8595,0.5695,1.0000,6.9079,2.5000,16.4627,0.4300,-0.0750,4,0.1379,0.1342,0,0.0000,0.0002,3,0.0625,10.0000,0.4978,0.0000,4.3000,28.1000,43.7000,23.0000,0.2900,0.8270
6,1,Rashee Rice,WR,KC,2025,8,0.8346,0.5439,1.0000,5.4667,1.6000,14.8060,0.8600,0.4500,9,0.2812,0.2646,2,0.0667,0.0220,9,0.1689,24.5000,0.6800,0.0000,21.0000,19.7000,19.7000,63.0000,0.2908,0.8056
7,3,Jonnu Smith,TE,PIT,2025,8,0.8194,0.5294,1.0000,5.9333,2.1500,16.4627,0.6000,-0.0950,3,0.1034,0.1659,0,0.0000,0.0086,2,0.1333,7.5000,0.6217,0.0000,3.7000,11.8000,44.7000,22.0000,0.2900,0.8270
8,4,Noah Fant,TE,CIN,2025,8,0.8115,0.5216,1.0000,5.8000,2.1333,16.4627,0.4700,-0.1150,3,0.0909,0.1175,0,0.0000,0.0002,3,0.0509,7.5000,0.5084,1.9911,7.1000,14.4000,45.1000,20.0000,0.2900,0.8270
9,1,Ty Johnson,RB,BUF,2025,8,0.7959,0.4992,1.0000,4.3000,0.9667,16.8043,0.3200,0.0200,0,0.0000,0.0381,4,0.1143,0.0708,0,0.0000,4.0000,0.3166,2.6074,0.6000,2.1000,8.7000,53.0000,0.2968,0.7931
10,5,Evan Engram,TE,DEN,2025,8,0.7958,0.5059,1.0000,5.5000,1.9667,16.4627,0.4300,-0.0850,4,0.1538,0.1661,0,0.0000,0.0052,4,0.0635,10.0000,0.4652,0.0000,7.6000,9.2000,46.6000,19.0000,0.2900,0.8270
11,6,Colston Loveland,TE,CHI,2025,8,0.7922,0.5022,1.0000,5.4000,1.9333,16.4627,0.8100,0.2650,5,0.1471,0.1046,0,0.0000,0.0001,3,0.1065,12.5000,0.6645,1.8496,6.8000,5.4000,15.8000,35.0000,0.2900,0.8270
12,7,George Kittle,TE,SF,2025,8,0.7811,0.4911,1.0000,5.2333,1.8667,16.4627,0.9000,0.3550,5,0.1724,0.1294,0,0.0000,0.0003,4,0.0784,12.5000,0.7562,0.0000,14.3000,0.0000,12.5000,38.0000,0.2900,0.8270
13,4,Carson Wentz,QB,MIN,2025,8,0.7668,0.4298,1.0000,14.8980,5.0898,25.7985,0.8800,-0.1100,0,0.0000,0.0002,0,0.0000,0.1055,0,0.0000,0.0000,0.9279,0.0000,7.7600,11.3200,62.5800,20.0000,0.3370,0.8251
14,5,Tyler Shough,QB,NO,2025,8,0.7636,0.4267,1.0000,14.8129,5.0166,25.7985,0.5400,0.5000,0,0.0000,0.0002,3,0.2000,0.0864,0,0.0000,3.0000,0.3400,0.0000,4.3200,0.0000,0.0000,30.0000,0.3370,0.8251
15,8,Ja'Tavion Sanders,TE,CAR,2025,8,0.7292,0.4393,1.0000,4.4000,1.4667,16.4627,0.5400,0.0600,3,0.1364,0.1155,0,0.0000,0.0001,3,0.0103,7.5000,0.5153,0.0000,4.9000,0.0000,20.2000,30.0000,0.2900,0.8270
16,2,Sean Tucker,RB,TB,2025,8,0.7060,0.4092,1.0000,2.7874,0.5333,16.8043,0.3400,0.1750,0,0.0000,0.0197,12,0.4138,0.1153,0,0.0000,12.0000,0.2372,3.2497,10.2000,1.1000,11.2000,49.0000,0.2968,0.7931
17,2,Christian Watson,WR,GB,2025,8,0.7022,0.4114,0.9930,3.2333,0.7667,14.8060,0.5600,,4,0.1143,0.1193,0,0.0000,0.0038,4,0.3763,10.0000,0.5600,0.0000,10.5000,,0.0000,97.0000,0.2908,0.8056
18,9,Gunnar Helm,TE,TEN,2025,8,0.7021,0.4121,0.9921,4.0382,1.3000,16.4627,0.5200,0.0150,3,0.0938,0.1102,0,0.0000,0.0001,2,0.0823,7.5000,0.5180,0.3228,10.3000,7.6000,31.9000,26.0000,0.2900,0.8270
19,3,Darnell Mooney,WR,ATL,2025,8,0.7016,0.4108,0.9924,3.2146,0.7667,14.8060,0.9000,0.2600,4,0.1481,0.1633,0,0.0000,0.0015,1,0.2982,10.0000,0.8217,0.1902,1.6000,8.3000,19.7000,61.0000,0.2908,0.8056
20,6,Kirk Cousins,QB,ATL,2025,8,0.6831,0.3461,1.0000,13.0099,1.8067,25.7985,1.0000,0.7700,0,0.0000,0.0003,2,0.1333,0.0894,0,0.0000,2.0000,0.6920,0.0000,7.1200,1.1600,1.1600,27.0000,0.3370,0.8251
21,10,Taysom Hill,TE,NO,2025,8,0.6676,0.3776,0.9575,3.5667,1.0667,11.6623,0.0700,-0.1150,1,0.0200,0.0299,2,0.1333,0.1195,1,0.0048,4.5000,0.1196,0.0000,2.2000,2.8000,9.5600,43.0000,0.2900,0.8270
22,7,Marcus Mariota,QB,WAS,2025,8,0.6668,0.3298,1.0000,12.5011,1.4047,25.7985,1.0000,0.3450,0,0.0000,0.0002,8,0.4444,0.2306,0,0.0000,8.0000,0.8214,0.0774,11.3200,3.9200,40.4400,22.0000,0.3370,0.8251
23,11,Jackson Hawes,TE,BUF,2025,8,0.6578,0.3678,0.9478,3.4598,1.0000,10.9484,0.5600,0.0800,3,0.1304,0.0544,0,0.0000,0.0001,2,0.1633,7.5000,0.5120,1.1401,3.5000,2.5000,15.4000,37.0000,0.2900,0.8270
24,4,Jahan Dotson,WR,PHI,2025,8,0.6563,0.3655,0.9471,2.7000,0.5333,9.4710,0.7100,-0.0250,2,0.1000,0.0812,0,0.0000,0.0010,1,0.3401,5.0000,0.7039,1.1811,10.5000,2.2000,14.6000,69.0000,0.2908,0.8056
25,5,Roman Wilson,WR,PIT,2025,8,0.6373,0.3465,0.9281,2.5000,0.4333,8.4446,0.4600,0.0450,5,0.1724,0.0983,0,0.0000,0.0022,4,0.3833,12.5000,0.4511,0.0000,15.4000,2.7000,5.6000,85.0000,0.2908,0.8056
26,12,Daniel Bellinger,TE,NYG,2025,8,0.6370,0.3471,0.9270,3.2000,0.8667,9.5667,0.4000,-0.2000,1,0.0455,0.0586,0,0.0000,0.0001,1,0.0809,2.5000,0.4707,2.1521,3.1000,17.8000,33.3000,25.0000,0.2900,0.8270
27,13,Noah Gray,TE,KC,2025,8,0.6370,0.3470,0.9270,3.2000,0.8667,9.5667,0.5500,-0.1200,4,0.1250,0.0873,0,0.0000,0.0001,2,0.1507,10.0000,0.5900,0.0000,4.3000,3.8000,16.5000,34.0000,0.2900,0.8270
28,6,Pat Bryant,WR,DEN,2025,8,0.6219,0.3312,0.9127,2.3000,0.3667,7.7667,0.5600,0.0150,4,0.1538,0.0796,0,0.0000,0.0012,2,0.2007,10.0000,0.5331,1.2139,11.0000,1.1000,7.1000,83.0000,0.2908,0.8056
29,14,Adam Trautman,TE,DEN,2025,8,0.6158,0.3258,0.9058,2.9667,0.7667,8.7333,0.6300,0.1600,0,0.0000,0.0510,0,0.0000,0.0001,0,0.0000,0.0000,0.5452,0.7138,0.0000,2.1000,18.8000,31.0000,0.2900,0.8270
30,7,Brandin Cooks,WR,NO,2025,8,0.6136,0.3228,0.9043,2.2333,0.3333,7.3461,0.6100,-0.0600,4,0.0800,0.0814,0,0.0000,0.0010,3,0.0334,10.0000,0.6383,0.0000,3.7000,0.8000,19.7000,61.0000,0.2908,0.8056
31,8,Isaiah Bond,WR,CLE,2025,8,0.5944,0.3036,0.8851,2.0000,0.2000,6.6667,0.5400,-0.1800,4,0.1600,0.1368,0,0.0000,0.0065,0,0.4821,10.0000,0.6246,1.7114,0.0000,1.9000,18.7000,64.0000,0.2908,0.8056
32,15,Austin Hooper,TE,NE,2025,8,0.5908,0.3008,0.8808,2.7000,0.6646,7.7419,0.5700,-0.0050,2,0.0870,0.0701,0,0.0000,0.0001,2,0.0830,5.0000,0.5693,0.0000,5.8000,9.1000,27.6000,27.0000,0.2900,0.8270
33,16,Isaiah Likely,TE,BAL,2025,8,0.5865,0.2965,0.8764,2.6667,0.6333,7.5973,0.5800,-0.0900,2,0.0909,0.0731,0,0.0000,0.0002,2,0.0144,5.0000,0.6362,0.0000,2.8000,2.6000,4.8000,47.0000,0.2900,0.8270
34,9,Isaiah Williams,WR,NYJ,2025,8,0.5778,0.2870,0.8686,1.8941,0.0000,6.3000,0.4200,0.4200,4,0.1379,0.0329,1,0.0270,0.0063,3,0.0543,11.0000,0.2114,7.8200,7.1000,0.0000,0.0000,97.0000,0.2908,0.8056
35,10,Jalen Coker,WR,CAR,2025,8,0.5772,0.2864,0.8680,1.8667,0.0000,6.2608,0.6600,0.2900,4,0.1818,0.1208,0,0.0000,0.0024,3,0.1077,10.0000,0.5440,0.0000,5.1000,0.0000,0.0000,97.0000,0.2908,0.8056
36,17,Dawson Knox,TE,BUF,2025,8,0.5732,0.2832,0.8632,2.5519,0.5932,7.0145,0.4300,-0.2550,1,0.0435,0.0780,0,0.0000,0.0001,1,0.0952,2.5000,0.5476,0.0000,2.5000,8.9000,20.3000,29.0000,0.2900,0.8270
37,18,Jeremy Ruckert,TE,NYJ,2025,8,0.5707,0.2807,0.8607,2.5000,0.5667,6.9419,0.5100,0.1750,1,0.0345,0.0574,0,0.0000,0.0001,1,0.0217,2.5000,0.4198,1.9152,3.4000,0.0000,21.2000,28.0000,0.2900,0.8270
38,3,Ameer Abdullah,RB,IND,2025,8,0.5680,0.2712,0.8647,1.3667,0.0500,5.6000,0.1900,0.1250,1,0.0526,0.0382,2,0.1111,0.0819,1,-0.0112,4.5000,0.1314,1.9000,1.3000,3.2000,11.9000,48.0000,0.2968,0.7931
39,19,Tommy Tremble,TE,CAR,2025,8,0.5666,0.2766,0.8566,2.4976,0.5667,6.8333,0.4600,-0.2350,1,0.0455,0.0932,0,0.0000,0.0001,1,0.0051,2.5000,0.5730,0.0000,1.4000,1.0000,35.6000,24.0000,0.2900,0.8270
40,11,Nick Westbrook-Ikhine,WR,MIA,2025,8,0.5656,0.2749,0.8564,1.8000,0.0000,5.9500,0.6500,-0.0450,3,0.1200,0.0776,0,0.0000,0.0014,1,0.2376,7.5000,0.6418,0.4028,2.3000,3.1000,7.7000,82.0000,0.2908,0.8056
41,12,Tyler Johnson,WR,NYJ,2025,8,0.5619,0.2711,0.8527,1.7667,0.0000,5.9000,0.7800,0.5600,5,0.1724,0.1012,0,0.0000,0.0011,3,0.4620,12.5000,0.5679,0.3018,13.9000,7.5000,15.8000,67.0000,0.2908,0.8056
42,8,Andy Dalton,QB,CAR,2025,8,0.5609,0.2240,0.8979,9.6593,0.0000,18.8697,1.0000,0.7500,0,0.0000,0.0002,2,0.0769,0.0510,0,0.0000,2.0000,0.6148,5.1731,1.1000,2.2000,8.4200,24.0000,0.3370,0.8251
43,13,Arian Smith,WR,NYJ,2025,8,0.5487,0.2579,0.8395,1.6500,0.0000,5.5667,0.4200,-0.3400,1,0.0345,0.0563,0,0.0000,0.0054,1,0.1141,2.5000,0.5850,0.1191,2.8000,0.5000,3.9000,87.0000,0.2908,0.8056
44,14,Tre Harris,WR,LAC,2025,8,0.5450,0.2542,0.8358,1.6000,0.0000,5.4738,0.5900,-0.0400,2,0.0833,0.0612,0,0.0000,0.0011,2,0.0388,5.0000,0.5343,0.4007,7.8000,3.3000,14.0000,71.0000,0.2908,0.8056
45,15,Malik Heath,WR,GB,2025,8,0.5341,0.2433,0.8249,1.5333,0.0000,5.2500,0.3300,0.0100,3,0.0857,0.0404,0,0.0000,0.0012,3,0.0361,7.5000,0.3319,2.1150,4.4000,0.0000,5.6000,86.0000,0.2908,0.8056
46,4,Tank Bigsby,RB,PHI,2025,8,0.5311,0.2344,0.8279,1.1333,0.0000,4.8925,0.2700,0.2300,0,0.0000,0.0117,9,0.2727,0.0891,0,0.0000,9.0000,0.1575,2.0950,10.4000,1.5000,2.7000,58.0000,0.2968,0.7931
47,5,Jaret Patterson,RB,LAC,2025,8,0.5242,0.2275,0.8210,1.1000,0.0000,4.6695,0.2100,,0,0.0000,0.0298,11,0.2558,0.2579,0,0.0000,11.0000,0.2100,0.0000,3.0000,,0.0000,68.0000,0.2968,0.7931
