overall_rank,pos_rank,player_display_name,position,team,season,week,score,score_lo,score_hi,proj_pts,proj_pts_lo,proj_pts_hi,snap,snap_jump,targets,tgt_share,eb_tgt_share,carries,carry_share,eb_car_share,receptions,air_yards_share,wopr_opp,kal_role,cusum,pts,pts_lag1,cum_before,rank_before,conformal_half_width,model_coverage
48,6,Devin Neal,RB,NO,2025,8,0.5234,0.2266,0.8201,1.1000,0.0000,4.6667,0.4600,0.3550,3,0.0600,0.0304,0,0.0000,0.0678,3,-0.0119,7.5000,0.2924,0.0000,2.6000,0.1000,1.0000,66.0000,0.2968,0.7931
49,20,Tanner Conner,TE,MIA,2025,8,0.5228,0.2328,0.8128,2.1333,0.3333,5.8000,0.4500,0.2700,2,0.0800,0.0742,0,0.0000,0.0002,2,-0.0198,5.0000,0.3410,0.3367,2.6000,3.8000,15.5000,36.0000,0.2900,0.8270
50,21,John Bates,TE,WAS,2025,8,0.5201,0.2301,0.8100,2.1000,0.1925,5.8000,0.5500,0.0800,1,0.0417,0.0673,0,0.0000,0.0003,1,0.0556,2.5000,0.5081,0.0000,3.2000,1.5000,3.4000,48.0000,0.2900,0.8270
51,16,Demarcus Robinson,WR,SF,2025,8,0.5118,0.2210,0.8026,1.3667,0.0000,4.8667,0.5600,0.2950,3,0.1034,0.1012,0,0.0000,0.0016,2,0.0658,7.5000,0.4687,0.0000,3.5000,0.0000,13.3000,72.0000,0.2908,0.8056
52,22,Luke Schoonmaker,TE,DAL,2025,8,0.5096,0.2196,0.7996,2.0000,0.0000,5.5810,0.3900,-0.0650,3,0.0857,0.0521,0,0.0000,0.0001,2,0.0344,7.5000,0.3912,0.0000,4.5000,1.8000,7.4000,44.0000,0.2900,0.8270
53,17,Allen Lazard,WR,NYJ,2025,8,0.5078,0.2170,0.7986,1.3333,0.0000,4.8077,0.7800,0.3350,2,0.0690,0.0716,0,0.0000,0.0014,1,0.0272,5.0000,0.6170,4.3734,1.0000,2.6000,13.0000,73.0000,0.2908,0.8056
54,18,Jamari Thrash,WR,CLE,2025,8,0.5045,0.2137,0.7953,1.3333,0.0000,4.7333,0.4400,0.0050,3,0.1200,0.0722,0,0.0000,0.0011,2,0.0564,7.5000,0.4205,0.9688,4.1000,2.8000,11.6000,74.0000,0.2908,0.8056
55,7,Ray Davis,RB,BUF,2025,8,0.5015,0.2048,0.7983,1.0000,0.0000,4.3183,0.2400,0.1750,1,0.0435,0.0289,9,0.2571,0.1021,0,0.0068,11.5000,0.1547,1.0682,1.6000,8.9000,12.3000,47.0000,0.2968,0.7931
56,19,Braxton Berrios,WR,HOU,2025,8,0.4988,0.2080,0.7896,1.3000,0.0000,4.6333,0.2900,-0.1800,5,0.1316,0.1000,0,0.0000,0.0026,5,0.0769,12.5000,0.3620,0.0000,6.3000,0.4000,0.4000,95.0000,0.2908,0.8056
57,20,Gage Larvadain,WR,CLE,2025,8,0.4982,0.2074,0.7890,1.2885,0.0000,4.6000,0.5200,0.2800,0,0.0000,0.0554,1,0.0667,0.0094,0,0.0000,1.0000,0.3694,1.8007,0.3000,0.0000,3.2000,91.0000,0.2908,0.8056
58,21,Ashton Dulin,WR,IND,2025,8,0.4935,0.2027,0.7843,1.2500,0.0000,4.5500,0.2500,-0.1150,1,0.0526,0.0500,0,0.0000,0.0100,1,-0.0300,2.5000,0.2408,0.0000,-0.3000,0.0000,10.3000,78.0000,0.2908,0.8056
59,23,Tanner Hudson,TE,CIN,2025,8,0.4880,0.1980,0.7779,1.8333,0.0000,5.1686,0.1900,-0.0600,2,0.0606,0.0963,0,0.0000,0.0005,1,0.0324,5.0000,0.2140,0.0000,1.9000,11.0000,11.0000,41.0000,0.2900,0.8270
60,24,Charlie Kolar,TE,BAL,2025,8,0.4871,0.1971,0.7770,1.8333,0.0000,5.1667,0.4000,-0.0150,1,0.0455,0.0643,0,0.0000,0.0002,1,0.0239,2.5000,0.4099,0.0000,8.0000,0.0000,6.2000,46.0000,0.2900,0.8270
61,22,Elijah Moore,WR,BUF,2025,8,0.4864,0.1956,0.7772,1.2000,0.0000,4.3827,0.4600,0.1800,4,0.1739,0.0700,0,0.0000,0.0232,1,0.2789,10.0000,0.3640,1.5084,1.9000,0.0000,16.9000,65.0000,0.2908,0.8056
62,8,Keaton Mitchell,RB,BAL,2025,8,0.4814,0.1846,0.7782,0.8667,0.0000,3.9667,0.1100,0.0500,0,0.0000,0.0245,4,0.1143,0.0837,0,0.0000,4.0000,0.0833,0.0000,4.3000,0.0000,1.8000,61.0000,0.2968,0.7931
63,23,Savion Williams,WR,GB,2025,8,0.4793,0.1886,0.7701,1.1667,0.0000,4.3000,0.1900,0.1000,1,0.0286,0.0312,1,0.0385,0.0306,1,-0.0258,3.5000,0.1403,1.2667,7.4000,0.0000,7.0000,84.0000,0.2908,0.8056
64,24,Malachi Corley,WR,CLE,2025,8,0.4771,0.1863,0.7679,1.1667,0.0000,4.2667,0.0700,-0.1300,0,0.0000,0.0461,1,0.0667,0.0196,0,0.0000,1.0000,0.1348,0.0000,3.1000,2.7000,3.8000,88.0000,0.2908,0.8056
65,25,Devaughn Vele,WR,NO,2025,8,0.4730,0.1822,0.7638,1.1333,0.0000,4.2000,0.5100,0.1500,5,0.1000,0.0690,0,0.0000,0.0017,1,0.1718,12.5000,0.4260,1.9890,1.5000,2.3000,10.9000,77.0000,0.2908,0.8056
66,9,Jaylen Wright,RB,MIA,2025,8,0.4690,0.1723,0.7658,0.8000,0.0000,3.8000,0.1600,,1,0.0400,0.0517,9,0.3333,0.3286,1,-0.0297,11.5000,0.1600,0.0000,3.3000,,0.0000,68.0000,0.2968,0.7931
67,25,Nate Adkins,TE,DEN,2025,8,0.4653,0.1753,0.7553,1.6557,0.0000,4.7667,0.2500,-0.1000,1,0.0385,0.0674,0,0.0000,0.0001,0,0.0234,2.5000,0.3001,0.0000,0.0000,4.0000,16.8000,32.0000,0.2900,0.8270
68,26,Luke Musgrave,TE,GB,2025,8,0.4635,0.1735,0.7534,1.6333,0.0000,4.7500,0.1900,-0.1300,1,0.0286,0.0530,0,0.0000,0.0001,1,0.0206,2.5000,0.2580,0.0000,1.5000,1.7000,9.9000,42.0000,0.2900,0.8270
69,10,Devin Singletary,RB,NYG,2025,8,0.4632,0.1664,0.7599,0.7667,0.0000,3.7000,0.1500,0.1000,1,0.0455,0.0202,2,0.0952,0.1218,1,0.0979,4.5000,0.1257,0.0000,3.3000,0.2000,9.4000,52.0000,0.2968,0.7931
70,11,Terrell Jennings,RB,NE,2025,8,0.4614,0.1646,0.7581,0.7500,0.0000,3.6667,0.0700,-0.0700,0,0.0000,0.0194,2,0.0571,0.1063,0,0.0000,2.0000,0.0980,0.0000,1.5000,1.8000,1.8000,60.0000,0.2968,0.7931
71,27,John FitzPatrick,TE,GB,2025,8,0.4609,0.1709,0.7509,1.6201,0.0000,4.7308,0.3400,0.0800,1,0.0286,0.0431,0,0.0000,0.0001,1,0.0052,2.5000,0.3097,0.6000,1.4000,1.6000,12.0000,39.0000,0.2900,0.8270
72,9,Tyler Huntley,QB,BAL,2025,8,0.4432,0.1062,0.7802,5.4662,0.0000,15.3126,1.0000,0.6800,0,0.0000,0.0003,8,0.2286,0.1504,0,0.0000,8.0000,0.7280,0.0000,16.7400,6.6200,6.6200,25.0000,0.3370,0.8251
73,28,Brevyn Spann-Ford,TE,DAL,2025,8,0.4413,0.1513,0.7313,1.5000,0.0000,4.4263,0.3100,0.1100,1,0.0286,0.0206,0,0.0000,0.0001,1,0.0000,2.5000,0.2638,2.9412,1.9000,0.0000,2.5000,49.0000,0.2900,0.8270
74,12,Will Shipley,RB,PHI,2025,8,0.4409,0.1442,0.7377,0.6667,0.0000,3.2752,0.1400,0.0350,0,0.0000,0.0305,3,0.0909,0.0495,0,0.0000,3.0000,0.1285,1.5700,0.2000,1.2000,4.7000,55.0000,0.2968,0.7931
75,13,Jaydon Blue,RB,DAL,2025,8,0.4347,0.1379,0.7314,0.6333,0.0000,3.2000,0.1900,0.0350,0,0.0000,0.0156,8,0.2581,0.2023,0,0.0000,8.0000,0.1827,0.0000,2.9000,3.9000,4.6000,56.0000,0.2968,0.7931
76,26,KhaDarel Hodge,WR,ATL,2025,8,0.4346,0.1438,0.7254,0.9000,0.0000,3.6000,0.6600,0.6100,8,0.2963,0.0716,0,0.0000,0.0019,3,0.3684,20.0000,0.3654,11.3000,4.6000,0.0000,0.0000,97.0000,0.2908,0.8056
77,29,Luke Farrell,TE,SF,2025,8,0.4255,0.1355,0.7154,1.4000,0.0000,4.2333,0.0600,-0.3000,0,0.0000,0.0434,0,0.0000,0.0001,0,0.0000,0.0000,0.2216,0.0000,0.0000,2.1000,16.8000,32.0000,0.2900,0.8270
78,14,Chris Brooks,RB,GB,2025,8,0.4234,0.1267,0.7202,0.6000,0.0000,3.0000,0.0500,-0.0500,0,0.0000,0.0380,0,0.0000,0.0139,0,0.0000,0.0000,0.0783,0.0000,0.0000,0.0000,5.7000,54.0000,0.2968,0.7931
79,27,Adam Thielen,WR,MIN,2025,8,0.4202,0.1294,0.7109,0.8000,0.0000,3.3501,0.2400,0.1000,2,0.0667,0.0723,0,0.0000,0.0014,0,-0.0278,5.0000,0.2605,0.0000,0.0000,1.5000,9.2000,80.0000,0.2908,0.8056
80,30,Harrison Bryant,TE,HOU,2025,8,0.4196,0.1296,0.7096,1.3667,0.0000,4.1667,0.2800,0.0200,1,0.0263,0.0364,0,0.0000,0.0002,0,0.0710,2.5000,0.2812,0.0000,0.0000,0.0000,1.5000,52.0000,0.2900,0.8270
81,15,Tyler Goodson,RB,IND,2025,8,0.4180,0.1213,0.7148,0.5667,0.0000,2.9333,0.0800,0.0100,0,0.0000,0.0289,2,0.1111,0.0695,0,0.0000,2.0000,0.0752,0.0000,0.2000,0.5000,1.1000,65.0000,0.2968,0.7931
82,28,Jared Wayne,WR,HOU,2025,8,0.4078,0.1170,0.6986,0.7500,0.0000,3.1667,0.4400,,2,0.0526,0.0720,0,0.0000,0.0032,2,0.0503,5.0000,0.4400,0.0000,3.0000,,0.0000,97.0000,0.2908,0.8056
83,29,Cedrick Wilson Jr.,WR,MIA,2025,8,0.4056,0.1148,0.6964,0.7333,0.0000,3.1667,0.3200,,1,0.0400,0.0702,0,0.0000,0.0037,1,-0.0099,2.5000,0.3200,0.0000,0.7000,,0.0000,97.0000,0.2908,0.8056
84,30,Skyy Moore,WR,SF,2025,8,0.4051,0.1143,0.6959,0.7333,0.0000,3.1394,0.1900,0.1500,1,0.0345,0.0202,0,0.0000,0.0060,0,0.1379,2.5000,0.1283,0.0000,0.0000,2.0000,3.6000,90.0000,0.2908,0.8056
85,16,Hunter Luepke,RB,DAL,2025,8,0.4044,0.1077,0.7012,0.5000,0.0000,2.7000,0.1800,-0.0350,0,0.0000,0.0266,1,0.0323,0.0172,0,0.0000,1.0000,0.1980,0.0000,0.2000,0.8000,10.6000,50.0000,0.2968,0.7931
86,31,Curtis Samuel,WR,BUF,2025,8,0.4007,0.1099,0.6914,0.7000,0.0000,3.1000,0.3000,-0.1150,0,0.0000,0.0643,0,0.0000,0.0017,0,0.0000,0.0000,0.3619,0.0000,0.0000,9.6000,11.0000,76.0000,0.2908,0.8056
87,31,Ben Yurosek,TE,MIN,2025,8,0.4001,0.1101,0.6900,1.2333,0.0000,3.9000,0.3100,0.1550,2,0.0667,0.0396,0,0.0000,0.0003,1,0.0556,5.0000,0.2424,0.0000,1.5000,0.0000,0.0000,54.0000,0.2900,0.8270
88,17,Josh Williams,RB,TB,2025,8,0.3972,0.1004,0.6939,0.5000,0.0000,2.6333,0.1000,0.0700,0,0.0000,0.0181,4,0.1379,0.0869,0,0.0000,4.0000,0.0720,0.0000,1.1000,0.0000,0.0000,68.0000,0.2968,0.7931
89,32,Tylan Wallace,WR,BAL,2025,8,0.3969,0.1061,0.6877,0.7000,0.0000,3.0500,0.0800,-0.1650,1,0.0455,0.0444,0,0.0000,0.0012,1,-0.0048,2.5000,0.1739,0.0000,1.1000,0.0000,11.4000,75.0000,0.2908,0.8056
90,33,Adonai Mitchell,WR,IND,2025,8,0.3904,0.0996,0.6812,0.6667,0.0000,2.9667,0.1700,0.0850,1,0.0526,0.0988,0,0.0000,0.0010,0,0.0150,2.5000,0.1901,0.0000,0.0000,1.3000,16.5000,66.0000,0.2908,0.8056
91,18,Trevor Etienne,RB,CAR,2025,8,0.3844,0.0876,0.6811,0.4478,0.0000,2.5055,0.0700,-0.0200,0,0.0000,0.0128,4,0.1538,0.0853,0,0.0000,4.0000,0.0834,0.0000,1.6000,0.0000,9.5000,51.0000,0.2968,0.7931
92,34,Kameron Johnson,WR,TB,2025,8,0.3841,0.0933,0.6749,0.6500,0.0000,2.9333,0.1000,-0.2550,0,0.0000,0.0252,0,0.0000,0.0052,0,0.0000,0.0000,0.1768,0.0000,0.0000,0.0000,14.6000,70.0000,0.2908,0.8056
93,19,Malik Davis,RB,DAL,2025,8,0.3814,0.0847,0.6782,0.4333,0.0000,2.4667,0.0500,0.0400,0,0.0000,0.0153,2,0.0645,0.0441,0,0.0000,2.0000,0.0340,0.0000,0.3000,0.0000,0.0000,68.0000,0.2968,0.7931
94,35,Ben Skowronek,WR,PIT,2025,8,0.3706,0.0798,0.6614,0.5667,0.0000,2.7667,0.1700,0.0300,1,0.0345,0.0255,0,0.0000,0.0015,1,0.0250,2.5000,0.1605,1.2108,1.8000,0.0000,8.7000,81.0000,0.2908,0.8056
95,36,Brycen Tremayne,WR,CAR,2025,8,0.3680,0.0772,0.6588,0.5500,0.0000,2.7333,0.1300,-0.1050,0,0.0000,0.0591,0,0.0000,0.0010,0,0.0000,0.0000,0.2193,0.0000,0.0000,0.0000,15.3000,68.0000,0.2908,0.8056
96,32,Foster Moreau,TE,NO,2025,8,0.3658,0.0758,0.6558,1.0000,0.0000,3.4215,0.1800,-0.1800,1,0.0200,0.0391,0,0.0000,0.0005,0,-0.0167,2.5000,0.2520,0.0000,0.0000,1.9000,1.9000,50.0000,0.2900,0.8270
97,20,Tahj Brooks,RB,CIN,2025,8,0.3653,0.0685,0.6620,0.3500,0.0000,2.2672,0.0000,0.0000,0,0.0000,0.0061,0,0.0000,0.0469,0,0.0000,0.0000,0.0116,0.0000,0.0000,0.0000,1.7000,62.0000,0.2968,0.7931
